roomType,confidence,Description,True_Label
Unknown,0.0,BEST AVAILABLE ROOM ONLY|CLASSIC QUEEN ENSUITE WIFI TV PARKING TERRACE - SEATING AREA - AIR CONDITIONING,Classic Room
Unknown,0.0,"MARRIOTT SENIOR DISC.|MARRIOTT SENIOR DISCOUNT, INCLUDES 62 YEARS AND OLDER VALID ID REQUIRED, CLASIC TWIN ROOM, GUEST ROOM, 2 TWIN/SINGLE BED-S-,",Twin Room
Unknown,0.0,PARK AND STAY AAA|1 KING BED STUDIO SUITE NONSMOKING FREE BRKFST/INTERNET-KITCHEN W/MICRO/FRIDGE,Studio Suite
Unknown,0.0,"YOU DESERVE SOME CREDIT|BRIDGE STUDIO SUITE AND BRIDGE KING 26,27",Studio Suite
Unknown,0.0,"NON REFUNDABLE|2 SINGLE BEDS,NONSMOKE,COMFORT ROOM,TUB IN RM",Comfort Room
Unknown,0.0,"REGULAR RATE|FLEXIBLE RATE, DELUXE CORNER, GUEST ROOM, 1 KING, CORNER ROOM",Deluxe Room
Unknown,0.0,"BEST AVAILABLE RATE ROOM ONLY,|JUNIOR SUITE-1KG BED-44SQM 473SQFT-AC OPEN PLAN SITTING AREA-FREE WIFI-",Junior Suite
Unknown,0.0,BEST AVAILABLE RATE|LUXURY SUITE-1X KING-60SQM-FREE WIFI- KITCHEN24HR ROOM SERVICE-GYM-COOKING FACILITIES,Luxury Suite
Unknown,0.0,OUR BEST AVAILABLE RATE|2 BEDROOM VILLA HOME - 1850 SQ FT - OCEAN VIEW FULL KITCHEN - LIVING ROOM - PRIVATE GARAGE,Villa
Unknown,0.0,GOVERNMENT RATE QUEENS SFBD|STANDARD QUEEN ROOM: FREE WIFI: 42IN TV,Queen Bedroom
Unknown,0.0,MRATE AVAIL STAY LONGER AND SA|PREMIUM KING,Premier Room
Unknown,0.0,"MARRIOTT SENIOR DISC.|MARRIOTT SENIOR DISCOUNT, INCLUDES 62 YEARS AND OLDER VALID ID REQUIRED, KING SOFA BED, GUEST ROOM, 1 KING, SOFA BED",Guest Room
Unknown,0.0,CWT PROGRAM -HONORS SEMI-FLEX|2 QUEEN BEDS STUDIO SUITE NONSMOKING FREE WI-FI/SOFABED/37 IN HDTV,Studio Room
Unknown,0.0,BEST AVAIL RATE|CLASSIC SUITE WITH VIEW -KING BED-50 SQM SEPARATE LIVING AREA,Classic Suite
Unknown,0.0,BEST FLEXIBLE RATE|14SQM ZING QUEEN RM 1 QN BED LARGE TV FREE WIFI FLXI RATE RM ONLY RATE 10PCT COMM 24HRS CXL,Queen Bedroom
Unknown,0.0,BEST AVAILABLE RATE|SINGLE ROOM * SINGLE BED * FREE WIRELESS LAN * SAFE * MINIBAR * KETTLE * FLATSCREEN TV,Single Room
Unknown,0.0,BREAKFAST INCLUDED|1 KING 1 BDRM PRESIDENTIAL SUITE ADJUST.SLEEP SYSTEM BED-CRISP WHITE DUVET,Presidential Suite
Unknown,0.0,"AAA RATE|1 KING ONE-BEDROOM SUPERIOR SUITE NSMK WITH FREE WIFI, FREE HOT BREAKFAST, HOT TUB, FIREPLACE",Superior Suite
Accessible Room,1.0,2X POINTS|2 QUEEN MOBILITY ACCESSIBLE W/ BATHTUB COMP WIFI- REFRIGERATOR-MICROWAVE,Accessible Room
Unknown,0.0,5000 RC BONUS INCLUDES ROOM|AND 5000 RC BONUS POINTS PER ANY CONSECUTIVE HOTEL INDIGO PREMIER SUITE YOUR 60 SQ METER SUITE HAS A LIVING ROOM   A KING BED ROOM. THESE ARE SUBJECT TO,Premier Suite
Unknown,0.0,TRIPADVISOR PLUS|EXECUTIVE KING-CITY VIEW-1 KING- WIFI-SITTING AREA-DESK-MINIBAR-COFFEE MAKER,Executive/Club Room
Accessible Room,1.0,ADVANCE PURCHASE NO REFUNDS|1 KING BED DELUXE NON SMOKING EXPERIENCE OUR SPACIOUS 36 SQM CONTEMPORARY ROOM WITH HIGH SPEED INTERNET ACCESS AND,Deluxe Room
Unknown,0.0,"AAA AMERICAN AUTO ASSN|AAA CAA RATE, MEMBERSHIP CARD REQUIRED, NEWLY RENOVATED COZY KING, GUEST ROOM, 1 KING",Guest Room
Unknown,0.0,FLEXIBLE RATE|1 KING 1 BDRM PRESIDENTIAL STE EXEC FLR NOSMK PARLOR W-QN SOFABED-DINING TABLE/6-COMP WIFI,Presidential Suite
Accessible Room,1.0,BEST AVAILABLE RATE EXCL BKFST|SUPERIOR SUITE-BATHROOM-PHONE-RADIO-MINIBAR-WIFI INTERNET ACCESS,Superior Suite
Accessible Room,1.0,"STANDARD ROOM, 1 KING BED -|STANDARD ROOM: 1 KING BED350 SQ FEET INTERNET - FREE WIFI ENTERTAINMENT - FLAT-SCREEN TV WITH CABLE CHANNELSFOOD   DRINK - REFRIGERATOR AND MICROWAVE SLEEP - LINENS BATHROOM - PARTIALLY OPEN BATHROOM, SHOWER/TUB COMBINATION, FREE TOILETRIES, AND A HAIR DRYERPRACTICAL - IRON/IRONING BOARD, DESK, AND PHONE  ROLLAWAY/EXTRA BEDS AND FREE CRIBS/INFANT BEDS AVAILABLE ON REQUESTCOMFORT - AIR CONDITIONING AND DAILY HOUSEKEEPINGACCESSIBILITY - WHEELCHAIR ACCESSIBLE, LOW-HEIGHT COUNTER AND SINK, GRAB BAR NEAR TOILET, LEVER DOOR HANDLES, AND RAISED TOILET SEATNON-SMOKINGCONNECTING/ADJOINING ROOMS CAN BE REQUESTED, SUBJECT TO AVAILABILITY BREAKFAST EXCLUDED SHUTTLE SERVICE TO THE AIRPORT AIRPORT: 7.58 KM, LAST NAME: ABILENE REGIONAL AIRPORT  ABI , TRAVEL TIME BY PUBLIC TRANSPORT: 0 MIN, IATA CODE: ABI AIRPORT: 145.57 KM, LAST NAME: SAN ANGELO REGIONAL MATHIS FIELD SJT , TRAVEL TIME BY PUBLIC TRANSPORT: 0 MIN, IATA CODE: ABI CITY/TOWN CENTER: 4.3 KM, LAST NAME: ABILENE, TRAVEL TIME BY PUBLIC TRANSPORT: 0 MIN FRIDGE MICROWAVE OVEN IRON   IRONING BOARD PUBLIC INTERNET TERMINAL LAUNDRY SERVICE BUSINESS CENTER PETS PERMITTED  DAY TOTAL NUMBER OF ROOMS: 160 ROOMS WITH CONNECTING DOOR: 0 COACH PARKING SPACE AT HOTEL HOTEL-OWNED CAR PARK CABLE TV FITNESS ROOM OUTDOOR SWIMMING POOL, CLOSED:",Standard Room
Unknown,0.0,AAA-CAA RATE|2 QUEEN BEDS-STUDIO SUITE-BALCONY-NON SMOKING -SPECIAL RATE FOR AAA-CAA MEMBERS-ID REQUIRED,Studio Room
Unknown,0.0,AAA MEMBER RATE|CASITA SUITE - 1100 SQ FT - OCEAN VIEW 1 KING BED - LIVING ROOM - KITCHEN - FIREPLACE,Suite
Unknown,0.0,SIGNATURE -SIGNATURE PROGRAM|COTTAGE SUITE - PATIO FIREPIT - ONE KING BED 45 USD RESORT CHARGE - 850 SQ. FT. PATIO,Cottage
Unknown,0.0,ELITE EXCLUSIVE OFFER|CLASSIC SUITE - CITY OR WATERFRONT VIEW - ONE KING BED,Classic Suite
Unknown,0.0,TRIPADVISOR PLUS RATE|DOUBLE OR TWIN ROOM ONLY ROOM,Twin Room
Unknown,0.0,"FLEXIBLE RATE*BEST LEAST RESTR|1 QUEEN BED,NONSMOKING,COMFORT ROOM",Comfort Room
Unknown,0.0,"MEMBER RETAIL RATE|MEMBER RATE FLEXIBLE, DELUXE SUITE, 1 BEDROOM EXECUTIVE SUITE, 1 KING",Deluxe Suite
Unknown,0.0,"PREPAY REFUNDABLE|PREPAY REFUNDABLE, CHANGES UP TO 3 DAYS PRIOR TO STAY, SEE RATE DETAILS, GRAND LUXE, GUEST ROOM, 1 KING",Luxury Room
Unknown,0.0,CWT PROGRAM -HONORS DISCOUNT|TWIN ROOM COMP WIFI/MINI FRIDGE/IRON-BOARD/SAFE/23 SQM,Twin Room
Unknown,0.0,CWT PROGRAM -HONORS SEMI-FLEX|1 KING BED 1 BEDROOM TREEHOUSE LOFT SUITE SITTING AREA-BI-LEVEL LOFT-SOFABD-REFRIG-SAFE,Loft
Unknown,0.0,HUDSON BAY 2 DOUBLE BEDS|DOUBLE ROOM W/ RICH LEATHER   WOOD FURNISHING,Double Bed
Unknown,0.0,BEST FLEXIBLE RATE|MONACO KING ROOM WITH 1 KING BED 1 KING BED APPROXIMATELY 300 SQUARE FEET. STANDARD ROOM. CITY VIEW. BATHROOM INCLUDES,King Bedroom
Unknown,0.0,ADVANCE PURCHASE|SUPERIOR KING NON-SMOKING WITH FREE WIFI- MICROWAVE-REFRIGERATOR-IN ROOM COFFEE,Superior Room
Accessible Room,1.0,BEST AVAILABLE RATE ROOM ONLY|PREMIER ROOM-40SQM-1 KING OR 2 SINGLE-CITY VIEW WIFI-FREE MINIBAR-ACCESS TO GYM-BATHTUB-TV,Premier Room
Unknown,0.0,"CWT BUSINESS RATES|LUXURY ROOM, 1 KING SIZE BED, OVERLOOKING THE P ETRUSSE VALLEY",Luxury Room
Unknown,0.0,CWT PROGRAM -SEMI FLEX|BEACHFRONT COTTAGE ROOM 35USD RSRT CHG - OCEAN VIEW - 550-650 SQ FT,Cottage
Unknown,0.0,RACK RATE|STUDIO - SMOKING,Studio Suite
Unknown,0.0,"FLEXIBLE RATE|INCLUDES COMPLIMENTARY BASIC WIFI CLASSIC ROOM - 1 KING SIZE BED, FLOORS 6-10",Classic Room
Unknown,0.0,CWT PROGRAM -SEMI FLEX|2 ROOM CORNER PREMIUM SUITE-1 KING BED NOSMOK INCLUDES WIFI AND IN-SUITE DRINKS/SNACKS,Premier Suite
Unknown,0.0,"EXPERIENCES DINING|EXPERIENCE DINING YOUR WAY, SEE RATE DETAILS, 2 BEDROOM VILLA, BEDROOM 1: 1 KING, BEDROOM 2: 2 QUEEN, SOFA BED",Villa
Unknown,0.0,STAY LONGER AND SAVE|TWO BEDROOM APARTMENT,Apartment
Unknown,0.0,SUMMER ESCAPADE - 25PCT OFF|DELUXE PEAK VIEW ROOM 1 KING BED. 9-43 FL. ENJOY HIGH CEILINGS AND LARGE WINDOWS OF VIEWS,Deluxe Room
Unknown,0.0,"STAY FOR BREAKFAST|STAY FOR BREAKFAST RATE, INCLUDES SEE RATE DETAILS, DELUXE GUEST ROOM, 1 KING, CITY VIEW, HIGH FLOOR",Deluxe Room
Unknown,0.0,LEISURE RATE|1 KING BED STANDARD VIEW W MINI FRIDGE AND COFFEE MAKER,Standard Room
Unknown,0.0,ESCAPE AND SAVE|ECONOMY PETITE SINGLE ROOM 1 TWIN BED 90 SQ FT,Single Room
Unknown,0.0,CWT PROGRAM -HONORS SEMI-FLEX|PRESIDENTIAL SUITE-2 BEDRMS/2 BATH-1KG/2QUEEN 1 KING BED/2 QUEEN BEDS-DINING TABLE-REFRIG,Presidential Suite
Unknown,0.0,NEXTERA ENERGY INC GOLD|STANDARD NONSMOKING ROOM WE WILL DO OUR BEST TO ACCOMMODATE YOUR RM TYPE PREFERENCE THIS IS SUBJECT TO AVAILABILITY AND,Run of the House
Unknown,0.0,BEST AVAILABLE RATE|STUDIO ROOM WITH KING BED-QUEEN SOFA PULLOUT FULLY EQUIPPED KITCHEN-FREE WIFI-COFFEE AND TEA,Studio Room
Unknown,0.0,FLIGHT CENTRE CORPORATE|FAMILY ROOM,Family Room/Suite
